@RELATION methodMetrics

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE eloc NUMERIC
@ATTRIBUTE iloc NUMERIC
@ATTRIBUTE conditionals NUMERIC

@DATA
17,15,15,0
7,3,2,1
8,4,2,2
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
6,3,2,1
8,4,2,2
17,8,7,1
10,4,3,1
14,8,4,2
55,43,37,7
12,8,5,3
13,9,7,2
19,13,7,3
7,5,5,0
0,0,0,0
22,13,6,7
3,1,1,0
3,1,1,0
7,4,3,2
5,2,1,1
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
3,1,1,0
3,1,1,0
8,4,2,2
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
2,1,1,0
2,1,1,0
23,17,15,2
12,9,4,5
9,7,7,0
16,10,14,0
3,1,1,0
3,1,1,0
13,7,7,0
25,18,17,1
8,6,6,0
6,3,2,1
8,5,4,1
11,7,5,3
9,6,4,2
26,20,16,4
5,3,3,0
8,6,6,0
2,0,0,0
2,0,0,0
3,1,1,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
10,8,8,0
10,5,3,2
15,13,11,0
6,3,2,1
